,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022
Aids,1,4,,1,1,2,3,7,2,1,,2,,2,1,2,4,2,,2,2,3,1,,3,,3,1,3,2,1,3,5,2,1,1,3,1,1,1,2,4,3,1,4,4,1,4,4,2,2,1,5,1,,1,,1,1,,1,1,1,,1,,1,,,1,1,4,1,,2,2,3,2,1,2,,2,1,1,,2,3,1,1,1,4,,3,1,1,1,3,2,,1,,,,2,,,2,2,2,1,,1,3,1,1,1,4,2,1,2,1,,1,2,,1,1,1,,2,2,,,1,1,2,3,2,2,4,2,3,,3,,1,3,1,,1,1,1
Apekopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,42,21
Botulisme,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,1,,1,,,,,,1,,,,1,1,3,4,2,1,,,,,2,,,1,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,
Brucellose,,,,,1,,1,,,,,,1,,,,1,,,,,,,,,1,,1,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,1,,,,,,2,,,1,,,,1,,,,,1,1,,,,,,,,,,1,2,,,,,,,,,,,2,,1,,1,,1,,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,1,,
Campylobacteriose,75,99,101,126,138,241,466,596,329,234,185,91,100,83,133,152,201,442,560,505,301,230,168,129,137,113,122,108,164,272,570,530,274,383,192,68,85,81,113,169,252,308,650,593,299,439,184,118,129,95,153,164,266,339,753,541,346,302,182,116,116,80,95,99,143,245,517,412,207,184,114,95,84,81,77,101,140,310,482,413,195,221,140,98,176,140,155,181,221,475,727,673,335,320,313,167,212,145,145,240,255,364,651,608,290,373,253,131,202,170,216,219,242,614,650,633,371,400,272,166,219,151,101,34,65,218,527,536,208,129,123,111,79,58,81,47,101,220,458,377,174,207,177,76,73,65,107,106,161,291,597,549
"Chlamydiainfeksjon, genital",1951,1511,1787,1990,1610,1806,1659,2219,2237,2061,1943,1753,2187,1658,1892,1624,1858,1881,1735,2058,2047,1994,2027,1569,1981,1817,1808,1438,1759,1851,1495,2042,1992,1992,1911,1403,1933,1728,1647,1965,1932,1774,1643,2179,2331,2178,1981,1655,2390,1955,2017,1659,2206,1914,1687,2171,2657,2489,1987,1678,2248,1994,2205,1964,1956,2117,1761,2162,2401,2348,2145,1906,2143,2107,1895,2397,2128,2131,1753,2376,2646,2295,2261,1835,2420,2066,2351,1620,2103,2056,1743,2359,2434,2233,2095,1645,2138,1973,1832,2069,2041,2332,1812,2854,2502,2698,2525,1788,2681,2104,2089,1862,2359,2234,2007,2886,2878,2810,2607,1925,3169,2440,1616,1085,1597,2003,2331,2600,2815,2286,2018,1482,1855,1587,1697,1680,1457,1866,1589,2527,2767,2268,2382,1772,,,,,,,,
Clostridium difficile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,42,15,67,78,56,40,124,90,75,67,90,118,124,125,112,123,139,191,212,182,224,198,213,238,227,225,259,247,221,195,235,179,203,157,150,173,169,211,218,225,234,211,278,271,260,238,255,248,214,265,265,281,269,220,299,226,254,264,234,254,226,318,232,265,273,243,210,201,255,206,212,200,211,260,223,245,271,217,246,248,188,192,238,224,255,230,248,260,263,282,246,194,226,218,230,262,247,283,265,271,277,280,289,198,256,235,271,283,269,303
Cryptosporidose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,1,,17,1,1,,4,1,1,4,3,2,3,5,6,4,1,6,10,11,8,11,2,4,6,4,6,10,6,17,16,6,5,4,7,7,6,15,15,19,21,60,41,24,21,19,17,11,12,18,41,21,33,53,55,55,46,17,19,10,13,11,19,27,37,54,51,40,25,21,13,9,14,25,20,19,50,66,41,38,57,26,31,23,10,10,11,26,28,94,67,51,78,54,30,28,19,13,31,17,31,40,48,35,42,21,30,23,15,17,25,29,36,128
Denguefeber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,4,2,4,3,3,4,7,8,2,4,8,4,5,4,5,3,10,4,2,6,5,6,10,10,2,5,7,6,12,6,9,14,7,,8,19,5,3,9,6,16,9,8,7,2,2,4,3,4,1,4,4,5,2,2,2,3,5,7,4,1,3,1,,6,6,1,2,1,2,5,6,2,2,4,14,11,5,6,4,7,5,12,18,2,13,11,9,9,5,8,2,,2,,,,,,1,,1,,1,,,,,,1,5,1,1,1,,4,,,3,9
Difteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
E. coli EHEC,1,4,5,4,1,2,10,7,4,3,6,4,2,5,5,1,4,6,1,6,7,8,2,2,4,3,2,2,2,3,14,13,7,21,2,2,2,2,4,6,9,7,6,13,20,12,9,13,8,4,7,7,14,10,17,24,11,18,15,16,10,6,10,4,11,15,15,41,36,33,25,15,17,25,9,14,14,17,29,29,29,17,21,18,22,22,19,7,33,40,43,50,55,50,43,22,26,26,29,39,35,43,52,60,58,44,45,37,34,21,26,31,31,32,80,107,53,44,29,23,41,36,22,8,18,19,45,39,31,28,30,14,19,20,23,23,20,40,70,66,56,36,21,44,38,25,35,30,34,39,49,65
