description,is_static,label,show_on_media,show_on_stories,tag,tag_set_description,tag_set_label,tag_set_name,tag_sets_id,tags_id
Media is largely about Norway - State & Local,False,Norway - State & Local,True,False,Norway___State___Local,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380505
"Media is largely about Oslo, Norway - State & Local",False,"Oslo, Norway - State & Local",True,False,geo_NO-03,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380507
"Media is largely about Hordaland, Norway - State & Local",False,"Hordaland, Norway - State & Local",True,False,geo_NO-12,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380509
"Media is largely about Akershus, Norway - State & Local",False,"Akershus, Norway - State & Local",True,False,geo_NO-02,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380511
"Media is largely about Aust-Agder, Norway - State & Local",False,"Aust-Agder, Norway - State & Local",True,False,geo_NO-09,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380513
"Media is largely about Buskerud, Norway - State & Local",False,"Buskerud, Norway - State & Local",True,False,geo_NO-06,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380515
"Media is largely about Finnmark, Norway - State & Local",False,"Finnmark, Norway - State & Local",True,False,geo_NO-20,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380517
"Media is largely about Troms, Norway - State & Local",False,"Troms, Norway - State & Local",True,False,geo_NO-19,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380519
"Media is largely about Hedmark, Norway - State & Local",False,"Hedmark, Norway - State & Local",True,False,geo_NO-04,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380521
"Media is largely about Rogaland, Norway - State & Local",False,"Rogaland, Norway - State & Local",True,False,geo_NO-11,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380523
"Media is largely about Møre og Romsdal, Norway - State & Local",False,"Møre og Romsdal, Norway - State & Local",True,False,geo_NO-15,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380525
"Media is largely about Nord-Trøndelag, Norway - State & Local",False,"Nord-Trøndelag, Norway - State & Local",True,False,geo_NO-17,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380527
"Media is largely about Sør-Trøndelag, Norway - State & Local",False,"Sør-Trøndelag, Norway - State & Local",True,False,geo_NO-16,Tags in this set indicate that the media source covers a certain geographic area,Geographic Collections,geographic_collection,15765102,38380529
